2026.01.23 17:56:06 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\controller\AllocationController.java. Using fallback presentation compiler.
2026.01.23 17:56:06 WARN  no build target for: C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\controller\AllocationController.java
2026.01.23 17:56:06 WARN  no build target for: C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java
2026.01.23 17:56:06 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\controller\AllocationController.java. Using fallback presentation compiler.
2026.01.23 17:56:06 WARN  no build target for: C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\Repository\AllocationRepository.java
2026.01.23 17:56:06 WARN  no build target for: C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\Entity\Allocation.java
2026.01.23 17:56:06 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\controller\AllocationController.java. Using fallback presentation compiler.
2026.01.23 17:58:01 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\controller\AllocationController.java. Using fallback presentation compiler.
2026.01.23 17:59:33 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:33 WARN  no build target for: C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java
2026.01.23 17:59:33 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:33 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:33 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:40 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:40 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:42 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:44 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:44 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:46 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:47 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:47 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:47 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:48 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:48 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
Jan 23, 2026 5:59:48 PM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 114
2026.01.23 17:59:48 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:58 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:59 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:59 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:59 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
2026.01.23 17:59:59 INFO  no build target found for C:\Projects\TrackOS\src\main\java\com\TrackOSProject\TrackOS\service\AllocationService.java. Using fallback presentation compiler.
